Fecha,Título,Enlace,Fuente,Término,Adjetivos,Sentimiento,Palabras Clave,Dominio Limpio,Departamento,Autor
12/01/26,Sergio Fajardo rechaza comunicado del ELN en apoyo a Acuerdo Nacional y constituyente: 'Manipular elecciones',https://news.google.com/rss/articles/CBMi-wFBVV95cUxQT2lkRVhNbV8wQzQ1eVk2NWRjc3haU0ZZbzIxYnZhd3g1WExyaDFnZkVnWmxaaWdIOEJ2LTFBQUxyLVEySW4wNWREcmxkQWlNdWxJWU9QZDZXdHZiYXNMWWI1aWRrNWhBdjJlemJmdGROYzljS0pGYm40WHZGQzFTVXlJOGJFdDRFTjZVQVBRYVd4c2ZSZXRwVE5MTDk4a0ZpcDhfOG5vRUQzUWsxUlY4OTBxU1R0dmVwb29sdkRoNHhpdjhlV09QTGhVSkxuSVVkZldnYkpVejl2Y2xHYXp6cUhwLURlZnRhVER2dnRGU21tZ1p3dzctUDl2WQ?oc=5,eltiempo.com,Sergio Fajardo,['constituyente'],Neutral,,eltiempo.com,Bogotá,
12/01/26,Sergio Fajardo rechaza propuesta del ELN para un acuerdo nacional y asegura que intentan “manipular las elecciones”,https://news.google.com/rss/articles/CBMi9AFBVV95cUxOSzFMZThUV3hQVWpmRjg0bkFIQnFCaWRvWEd6Y0wtdkhrLXNUQ2o1cVh1Ym9MNXhrZVRRaTFORlNQaGV2aU1WZUtKeWNMTGt6bU1UYzhzVHVKNnA4cWJUNnFnNmVnQzkzUklQd05fbGx6X1MyeGt4QmtBSEF4dFNUMjBtUkNCQnFteW1TcVF3MF9oNXFUTGs4V1NtUkJBRHVqQnp2NUNiQ1FLaTVLc0F4UWRYdDRfRy1hNWQ2VFBDRVlMTENNSlczcUJaWnYwTUNWdDFHdnNYa1pxb2V5b1AySnc0TGFNZERJR0VZWEdPVGxma1pu0gH6AUFVX3lxTE1OajFobDVqYmVQdzBTVnhjY2hNa01DaDBobXY3dlBuaFl0QkZMS1I5ZXVwNG9FTXU1R21tQVF0eEtJSHdDZ0F0UjM2bmt6UjM5OWZQelAxTGw4Z3pVeHNxczJqeHdud1pkVVBBU3RmVnZ5dFB2NzBwb3R6anRkT3htek5IcmdSZFBVVmUtNFZQcXNKVFU0cGpxOEFnT05EUEJzcWJPZ21uekQyalNzMlZNTWV0QlJYa1ljVVJBcVNmREw5WXo2dFFBbFZwNnBNczE4RV9Yd01MT3RUMjVjMzRULVJUdEUzWXJ1T3J4R1lpUVpUb3FuVEFPZ0E?oc=5,semana.com,Sergio Fajardo,['nacional'],Neutral,,semana.com,Bogotá,
12/01/26,"De la Espriella, Cepeda, Fajardo, Pinzón y Valencia lideran encuesta de AtlasIntel",https://news.google.com/rss/articles/CBMiygFBVV95cUxNR0F4Zjc5Q0tkSTBXUl9VeTAyQkFPeFE0WndvbUFxeDJBdUljdkVRcGxjQnB5ZWlpVk1mTlhFU0dmM3Z6V0lzSjg2R1JZNWFYRUhuaGRYSFM3MnZwNmdWY3ROWTdrOXBkQzVqWkMtdWhGaENDRVp6UXk3STZDbW0yZW1yQUM2ZUtCV3F0ckNFNmxmekFfWE1EUzRHZHh0blFyQm1jcnduTGVtd0RiZWlJMGFlUFFCVDY3Mmhia0xKb1RtNWUwSktST3FB0gHPAUFVX3lxTE56Y2d4aFM5ZmhERnNvTEVkendzWW42NmZtaDhQLWp1QjI1MFF2QXRVTWFLU1dMVTg4bFVnWjh2OFp4bUJKdFlJczFmQWZfdW11RkZ3SkNaaEFnYl96eWxRZkJyd1NKQVVEaDZPSXJocnZyaWVGNUF2TkpUYXJNdmNaMENjaUhtM2l1enZlSkFvVHI3MUdUZTBwbUx5OElmS0hpUkVfUGJxd1A3NnVqTUdRaENMN20zWVBxYndHN3poWTUwVGZKV3B3MFA0WkFUQQ?oc=5,portafolio.co,Fajardo,[],Neutral,,portafolio.co,Bogotá,
12/01/26,Gran Consulta: ¿fin de la centroderecha?,https://news.google.com/rss/articles/CBMirAFBVV95cUxON1B2UmRxSnFsOHcwdUZYYlFfU0pOLXlGZF9xM0ZaUmE2VGZIQjdIZGN3cHJSMFBYM2ZoZUtfeEo2Sy1vMFhQY1d5Uk5uVThWNnl6Qnk5RTNzVHpwcEI4eW04LUFlbk9uaFRwV1ZPd2piX0tSbDd2WEpqSDRURTNrS0htSDBteEdfaWlHMmcxT01MNjRUTlBORm9xMm5NSEpXQjRsV2VWdXBpbkxr0gHAAUFVX3lxTFBSZ0FsVkNoRi1QVFVsVkJHSUhJcHJ6RWpSMEZYVGk5WEk3TWRzbzl6UVZ0VjhhVEItT1Ewenk5LUo1VS1ZWGpUMHExeHJ6N1VsLU51VkU1YnRqSk5RdkdDbXk5MzYwajZsYldjZloxenM4NDFfMEJCLUJ3Vy1iNFdfYnJBWW5xaTI2aUJrT085bkN1dEhwZE1VMFJzazJvdExUWklXakFrLXhfMjd2OFV6MktfdE1UZ3Nmc2NIa3YyOQ?oc=5,elespectador.com,Centro,['Gran'],Neutral,,elespectador.com,Bogotá,
12/01/26,Capturada ‘La Tetis’ por presunto tráfico de drogas en el centro histórico de Cartagena,https://news.google.com/rss/articles/CBMivAFBVV95cUxOajR0dlA0UGY1VnQ4WjFSWVlvYldyRHphZktsUHZXODFoX0hHaUpJLU9qTmdLOHlCdVB0TDZtbWZYUEJGeVVJaFBzUU1IOGV3bUlWZWxPaFhVZVQzOVZiR2djelBaTUZKc3o4a3BNbFYtTFhGWk5LNEJNVnFfdlhKaU13RHdYNVJEdlpMZ3BPTkFBQnR6a2tqZ1c3MVAzckNrM1dMQ0pLbWpQeVpIZXNyWGZ0R3p4ZFh1NjlwMtIB0AFBVV95cUxQNHFzdGVRdjlNMFZaVkdnVzRpbXVlZnZJSk9LY1ZiRk9qVmZ6Qjg3MS03dU8takZDaFhuLTFTdlRSYV9LS3VaR2VBN1dsYmZiLU1nVUVfVW1BUkwxSENFbHRSX2hDQlA0U2tCYjJZclhTb3d3UGRRQ2h1Zk9hRW9oOHlqU3dmQzFFWDliNnNnZDh3SGg0NlJhUk9YdkpqUjNXcXotSml0ampZdlloVGRSeUoxUHVob3hHREgtbjRiSnN3dG1vTWdIZ2VudmM5ZGVy?oc=5,caracol.com.co,Centro,"['Capturada', 'presunto', 'histórico']",Negativa,drogas,caracol.com.co,Bogotá,
12/01/26,Capturan en el Centro Histórico de Cartagena a presunto distribuidor de drogas sintéticas,https://news.google.com/rss/articles/CBMizwFBVV95cUxOenNjOTk5eEh1WHFodTVlWHJ2WThGMUJGSjRJNlVmWUZHTWRtWjFTRTBOdE5uUWRfWF9SdzRmb0d2Uy0yaUVjd3NlRV9aSUw2NkgxNVJGLUgtMy14SUNaVEVPNjZQR01oZWgtS0dzVmstTmVMVzZiYWtKbFk1UEpQemxlUHBwTjI2dEtaLS03S1ZsUkpvczNMX281R1BELUMwQ3hhVk9SY3hBNjFnVVVYM1JvQUpvZkw2NVY0WnRjcURuYkZncHYybW4wUnFmWTTSAeoBQVVfeXFMTjVQRkNVUzBmdTZtSG45UmV2dzkzaEVKU1h5Y2lMYjhNa0Nldzd2VGx1LTlyY1J1ZHlYNFlXRzhMUEJDNlpfcmdOSDd0bm9fZGhwQnN0elI2TlNxYi1MSTMzQk8tSEUyT1g1Ui1rV2RtLS01Q2ttNjlNcFpFZG5NRUU4cG5CMGd0RUc0V3hteG1Xcm1ITEF4b1VhYlVLQU10dDgxTGViRGVNOENiempHeXIxZWNlNG41WGpRbE4wR2RMNm9MS0Q0SnJlMmp5Sy1Pdnh6b3BmLTltSjg0RnR3Tm82S2R4X09FVGxB?oc=5,elheraldo.co,Centro,"['presunto', 'sintéticas']",Negativa,drogas,elheraldo.co,Atlántico,
12/01/26,Chile abre las puertas de su primer centro nacional espacial para ensamblar sus propios satélites,https://news.google.com/rss/articles/CBMi1AFBVV95cUxNcW5BdXpuVHAyMW5FVVRDQmtGSHJDdFdteDZtX1NVQW5KT3pFUUhZTE14aDdWaFJUcHZrbnJmcGJWVVZfT0lNMGs5aHp6ck82bnBfNUxBbGtPQ2dpVGtNNTZMSkNGWTFiLTFFVW9LbzI3c3hlQk1yVWdPNk9NSWdJNURfV19qeGJtOHVsYThScFhyY1RkNk5Sc1hESjhEUThMVV9SUzhMaEtuZVZtUXlVbjdkc1JSYktVQU1RSVl6cEVGN1J2SE1uYVlMX2hUQUlDcG1HZNIB6AFBVV95cUxNeENERDlhTUV1TG5xclN1U2J1NHFTYUh1dHhuekZaamlYYzFuS2dXUENfVEVVRjdNQmNieW5Hb1VlQWVObzZqR1lFSW9Id09ZXzhtb3MwMW5jVmVVSmFlVGVhMUlHQmluMU42ZU1ka2phZG5kejdvYjNaOTRkVnYyUVhRaDBUT2dSZXpLX0lranlEMkcxSzBTaHVRMHR6N3FrNEh4R2Y1NFpIRmpIRi10S3k3dHVnSU1KcEY0Rkk3ZFpYRzk5ZWsyTWZhRXAtMFdCMXpyeTdmTHpOa2RFYlh2SDhrWF91NmZD?oc=5,elpais.com,Centro,"['primer', 'nacional', 'espacial']",Neutral,,elpais.com,Bogotá,
12/01/26,"Alquiler de Locales y Bodegas en Cali, Centro, San Bosco",https://news.google.com/rss/articles/CBMixAFBVV95cUxOZmU4aVIxbE1zbHNYV2VWNjFuRkZsMUFNaVBsYktsWmpVSC1GYmlTOF8zcGtlZ0tfN3VvUUl6cnhhejdncHN2d09hR0hGOUY5WGFyX2xWSlBMWHlpMWtvX3czUV8zRG9CUkVXRXNrajNCSW9NYl9od2NidXlUUlJuYS1lYzhRWUs4MzEzV1pWempvQlM2ZWJ3Q3JYZUs4ZkdPNGlsTnlha1VPVnlzaGpwLWFFZ0s5Wjl4RjRNa2RrRGtsVmRQ?oc=5,elpais.com.co,Centro,[],Neutral,,elpais.com.co,Valle del Cauca,
12/01/26,Parque Arauco impulsa innovación abierta en Colombia con pilotos tecnológicos en centro comercial de Bogotá,https://news.google.com/rss/articles/CBMi-AFBVV95cUxOT3RLUk5ySGRULWROSXhYUW9mM1lmem1qcmd0ZGlla2d0eFZXU2dSbWltOHAxWUlrbFpZMnVmOVpoT01xRUNrUGQwZmloRERSNTZrMEVmMDRRc3FSRVF3dnNhYWltMmpEdDl4M2Rrb3BieDFUM2JrZUhVYmUwempKT2dXcE9XQ3VoN0RhaG15T3E2bHJXSl96WUZ3WlNJX3FpMlpLMGFRdDJZUEZWY1JkekxZNXVYdy11X001T0w4dlRIM1dwU0Rwd2pMaUNKaVVUUWZmNlpFVFBDeDNTRjNjM2UyODNFRWllM0VCNTREcXh0X0NMWXNCMNIB_gFBVV95cUxQOUEwZGZocEdKamVCeWY4akhXLXFkTGlnZ1dfRzRoYjhaZGNWd3l4VmVmbjZuTkMwVzV6Q0RtTGJnemNBdVRiTC1PTEZKUm9weVUyVlA4R0tPZ2tvSWZQVnlWSFRGbXBOWEpLQloyNFd1WkdPQVlyWWZXYWdrWVNYSUNFZDQzS2cweFJNYUthdEJQcnc3akcyMmdlb0hDZldoU01FdEFJOTNnQnhtc19rQ0RpUms3ZmJTOVdDODFOVk5EeXFXVUtQNzFrMkZ1WE4zMk5jY2phUUcyYTdlQUlpWGJuZU1aZkJDZlE1Y1hZU1ZWVWZYeFBac2x0Nl91UQ?oc=5,portafolio.co,Centro,"['abierta', 'tecnológicos', 'comercial']",Positiva,"innovación, impulsa",portafolio.co,Bogotá,
12/01/26,Sebastián Ayala resulta ileso tras aparatoso accidente vial en el centro del país,https://news.google.com/rss/articles/CBMixwFBVV95cUxNT2RYbkpsQ2VpRW5nU2Y2Q0xmWlFtWDNBNkdnTHBDajJKV2ExUk1jWEhReTZWTmszUUhCOFpiLWEzR0s1QlE4ajc5VlJZamxHQ212eE5oN054MklZd1FYUFpESEZoZXBYN096cllaS2pNU1drTUVfanhCcVN2dGJ3N0Q4OTB0ZEFBYm4xOUh5ZDdmbU42ZWhmWDUxRHVPbFhnczRnNWRXNFFMMGNFVkNmWkdJTkZTcklETEJCRnVwT2lUc25LbVpn?oc=5,diariolalibertad.com,Centro,"['ileso', 'aparatoso', 'vial']",Neutral,,diariolalibertad.com,Atlántico,
