Fecha,Título,Enlace,Fuente,Término,Adjetivos,Sentimiento,Palabras Clave,Dominio Limpio
29/12/2025,"Ecopetrol ofrecerá en venta entre 39 y 68 millones de barriles diarios de gas natural, de enero a mayo de 2026",https://news.google.com/rss/articles/CBMi7AFBVV95cUxPbjVBWVpOeGxlNjFkWGY4QkYxeGVncGRWbjhvMGFrWjhjN3BhaHVHTzBJWThSQjU0RFpfS0VGZHZaWmlXdWNxcGJWNUV2WHQyTjl3Zk1CLTM1MWZpZGh4NkhuYTZ3cUxGVFdRQXQtb3ZkMG1XOG9URG1SNnlsNC12cDlnNnpIU1cxLU5ndWc4b0dvUU1wRzR1T0oybHp6TkpMWm05QlN5RW9QY18xVHFrUlpUMXFJb29GbWlBVWNXVHNuUHRiaUNGVlozc2dUYkJXNFY2NGI1bHdueXpDR2V6cWlKVnZETkhNM0lSSA?oc=5,diariolalibertad.com,Gas Natural,"['diarios', 'natural']",Positiva,,diariolalibertad.com
29/12/2025,"Air-e en crisis: tarifas bajan, pero deuda de $2,7 billones mantiene en jaque a la empresa",https://diariolalibertad.com/sitio/2025/12/29/air-e-en-crisis-tarifas-bajan-pero-deuda-de-27-billones-mantiene-en-jaque-a-la-empresa/,diariolalibertad.com,Air-e,['Air-e'],Negativa,crisis,diariolalibertad.com
29/12/2025,"Durante 2025 las tarifas en Air-e bajaron, pero la deuda sigue creciendo",https://zonacero.com/generales/durante-2025-las-tarifas-en-air-e-bajaron-pero-la-deuda-sigue-creciendo,zonacero.com,Air-e,[],Negativa,dura,zonacero.com
29/12/2025,Ecopetrol toma el control de los pozos gas que tenía la multinacional Shell en el Caribe frente a Urabá,https://www.las2orillas.co/ecopetrol-toma-el-control-de-los-pozos-gas-que-tenia-la-multinacional-shell-en-el-caribe-frente-a-uraba/,las2orillas.co,Ecopetrol,[],Neutral,,las2orillas.co
29/12/2025,Ecopetrol garantiza disponibilidad de gas entre febrero y mayo de 2026,https://www.lafm.com.co/economia/ecopetrol-gas-natural-2026-la-empresa-petrolera-garantiza-disponibilidad-entre-febrero-y-mayo-del-proximo-ano-386526,lafm.com.co,Ecopetrol,[],Positiva,,lafm.com.co
