Fecha,Título,Enlace,Fuente,Término,Adjetivos,Sentimiento,Palabras Clave,Dominio Limpio,Departamento,Autor
19/01/26,"Encuesta Datexco revela los políticos con mejor imagen en Colombia: Sergio Fajardo, Juan Manuel Galán y Roy Barreras",https://news.google.com/rss/articles/CBMi8AFBVV95cUxPT3pwWThFY0JoSU5Hck1lOTdXd3VNMnNrSUZ1R1hSY2o0dm92S2w0eXpwN3FKWjA3ZFBBeGlhQTdkcWNBTmNUdEJ4OFUxQ1NVXzZaOThxUm11UUVmcENoeFIxV0phTk9fNXR2MWZuN0lTNkpQUlFMWFpnY0xidnhrMTY5ckl3bEFtODlJVURiMUtyOENlTlNtUVo5b3k1WEx2VzhNYkVpNXQtQ013cFNwTWNtczlfQzV5ZVZPLTBOcndCX3dYU1RaSzRrMWxnS2ZaUE4xdDU1bHZkdWtfdEhQanNJcGtlLXhDa25WTW5SbWfSAYsCQVVfeXFMT0VEeFcxLVZOS1k3OW0zbXFMcTRMUWhFRzByalFrLVZWVm1rak9QYXlHOGFKVmZPMFRyUFVFNWlZcnM0RlAxeUFtVGRnY0d6blZSRmJCcUJiSUdnZVRBelVvSDRidElrUlBNMG5Yc0QyZFUyMzUwVDZuVFA1Rk5RRGlrY3cyYTVZUUNNTVJwMVpFQkh1cWRJZVBJaklvbmg5WFVXN0sweFN0Yy0xcTZPY2lsV0VyZUQ2Vlhtb1B0VTcxX2tlYWRfR3hISVdWdHFkd0pyOHF0TGNTWE1UdnhTdTNmOGlaN0doMEZRU0Jtcnd6a3ZQQ1p3NE9NRlJDYmhUUHI3LUVUVU1RNzBz?oc=5,infobae.com,Sergio Fajardo,['mejor'],Neutral,,infobae.com,Bogotá,
19/01/26,Fajardo debe ser el próximo presidente de Colombia,https://news.google.com/rss/articles/CBMihwFBVV95cUxPVm1VOFpibXl4ZGFwM2pqOFNQMC1mUkpLajg2ZUxDVG1HUXRnaWpIWjB0U0N3MzBxd0FYakRWXzNQek1zaVZoekx4bnJmSXRQMVZsN1VhbGlXNnNIT0pWVTh6QWZlVWFlR2dvaWdSYTdCUmdvTm9jUk5TQW5jUkEzbEJNNjJaYTg?oc=5,las2orillas.co,Fajardo,['próximo'],Neutral,,las2orillas.co,Bogotá,
19/01/26,Paloma Valencia lidera la intención de voto para la consulta de marzo por centro-derecha,https://news.google.com/rss/articles/CBMi5AFBVV95cUxQMVRNY1IzeXVSMnJldWtFMTZxMTZja21OdUlRQUh4RGR2em5RVzhYczZOM1ZZRUpfNENUX3J0a3pCLWllMloyOGRiNjFGUF8yU081ZzNVbVNhSy1RU0hIMllpdWZHa0NwLUJ0OXg2SFdXM3FvRV9JQ1RYX2FqQkM3bllaZ3ViUHBIT2tTaklteW56Y0FZRHdWY3pZUjBtbkI0YkxUNXRsZXAwMUpzMEpIYl9fcFNxSVBuOEtIUDhWbkp1QjljTDh3VHFDWDhTQUlYUXVYRUVEVEk5N2lZQnZiZTZOaFXSAeQBQVVfeXFMTnhzWUdIeFQtUW5MaWtfLVczdFV0WWNIcHF6aHVsQXdZUVNDbDVkanhMTmRQMEhIZDFLOS1UOEM2eFdBT1hLTmltdXZOenU3UTBJSVRrMVhjcml4NzJkVHJPZEJfRlZYb3B2cmhYSXRhUVBzUEhJbTFHMVVFNGJza3Y5TEdiS09SWC1DelFKUm5CMXk4OUNMRlpEVTNvMnFVZmx5N0k5R1V5U0NqR0p5ejJmZ3o5RFhQSUpqUXUwYUF4YVRaeWxjQVBXZmZHdzZlUi1JdTRtYVM3MzJUU0l3UkdoN3FY?oc=5,larepublica.co,Centro,[],Neutral,,larepublica.co,Bogotá,
18/01/26,Ciclista murió arrollado por una chiva turística en el Centro Histórico de Cartagena,https://news.google.com/rss/articles/CBMiuwFBVV95cUxOa1VZRkZBbkxmby1GN2hSR3ZCa0EzVkNtTTNrWEpVbEZpR1pWOUxyU2VmZUZqQWoyVUZLRW5rSGgwQW5kUWJXZ21va2dBMVY2UFRFbmJMR3JtU3RyM3NlT2t3UlZPREdPQlpHZ0d1U3E0emE4SmNJbXhteGxFdm9ycllER0hRc1o3RWF1Q09iemhmX3Z4N3Y1ajBrSk9DbUpwdWM1eXZmbHduc3lPaFVDTlhBcm5XdGNUeXZV0gHPAUFVX3lxTE1vNWlYakdSM2FwTXBfYTljeldCYkhtaEJDRDZQVS0tSmNkZ2xWV2x6M0N1dU9sYllUMkVMWGdoY2dlOURqd0U0WG91ZUdZcjRKUFlnbDVad0NTWTJ0TWxiVDhIUUlKek5mY01oMEhnSTNXQ0FiSURIdkdLWVBsTmk2WjNrRk9kZmpadXlBOG5OUUozQVlHWnJmTHY1ZmJjQkhjVlZWOVc5eTZpYXB0M2o1RzBNSld1Uml0Z2wxTTdrSF9tWlJrMV9YRm1Va2xMdw?oc=5,caracol.com.co,Centro,"['arrollado', 'turística']",Neutral,,caracol.com.co,Bogotá,
18/01/26,Chile decreta estado de catástrofe por incendios en el centro y sur del país | El Colombiano,https://news.google.com/rss/articles/CBMirAFBVV95cUxQbk1jeVpaNnRVamlOQVV5SC1RRTU0Y1pRZlVGQ0dabTl3alhfa2hxTGtzZVJubGJjczlkQ2VKaFFVTWVzTU9hUERmYVd4ZkZKaGxjbWR2bkdNS3Y0dTB2SS1JcnMxeFpIRFJzUlZ6VGNMMEVlcFlWendtQXBidllBNHM4QWhPakNWLWJ3UTI4U0tRTUdhSFBlUXdVVjl1a3dUU296cnFpV0dQbmRv0gGsAUFVX3lxTFBuTWN5Wlo2dFVqaU5BVXlILVFFNTRjWlFmVUZDR1ptOXdqWF9raHFMa3NlUm5sYmNzOWRDZUpoUVVNZXNNT2FQRGZhV3hmRkpobGNtZHZuR01LdjR1MHZJLUlyczF4WkhEUnNSVnpUY0wwRWVwWVZ6d21BcGJ2WUE0czhBaE9qQ1YtYndRMjhTS1FNR2FIUGVRd1VWOXVrd1RTb3pycWlXR1BuZG8?oc=5,elcolombiano.com,Centro,[],Negativa,incendio,elcolombiano.com,Antioquia,
18/01/26,Chile decreta estado de catástrofe por incendios en el centro y sur del país,https://news.google.com/rss/articles/CBMipwFBVV95cUxQMjAxNXRXdHE5aDd6YVZXdVlmYThIRzN6UmtFbHZkbmtYU1ExTzBmNVQ1V0pybnpQdHh4NmVZNHBwMVR3c1RSaEp3c3Y2V0NpOXJUTmZpWGFVNnJEZDcyZUdDSVN2VlRBdmRKTzQ1Y1J1dWFZeXppcmo0elpTdmdoWVNtQWxyX2tTNmhnaDA3Z3c0ZTJ6UWEwbmpnejlRTmJNQjVzcEswRQ?oc=5,elcolombiano.com,Centro,[],Negativa,incendio,elcolombiano.com,Antioquia,
18/01/26,Fuerte incendio en centro comercial dejó al menos 6 muertos y 20 heridos,https://news.google.com/rss/articles/CBMirAFBVV95cUxQcDNTXzktRGVpNDlmSGZjOGxCaVUtaGpJRVBCbHl4QzJJVTJXSHlZN3lxYm91SDV0bDdpWng2NkVGTTlBdkVFTm5mR3RVVkxkbDZqT2RoVFFKMUNPTFk5VV93V2tYY3gtU1hCSy1rWHE1Vy1GRUJNdzVkZmtzV1FGSW1aQ21EaE1lLWdpSzhFTXFQT2JWbFdIS2FLRkZPWTY1RTlPWkROaTBSWk400gG6AUFVX3lxTE9hOXhtalNCVjRZcVJXcjJ4eWVoaGZKTkxIeE4zbEJSczNmV0Z6ck9FMkUtYmpzalN2QXA4SVIycnVWWW1zQWt0bnp4MlI2OElCV1BIaU8yTk5lZmlHZlNsN3A3TzJBN1RqTndGU25RQ1N2b2pfOG9RUko5OENGWmdFUzVRT2F1WnA0ckpsZ3p5eGJ6bkxob1JOQnF6S3hrRkFsY3BwNjNmdER0cTF5TFNsTmY0WFFQUU1ndw?oc=5,bluradio.com,Centro,"['Fuerte', 'comercial']",Negativa,"incendio, muertos",bluradio.com,Bogotá,
19/01/26,Se necesita una consulta del centro,https://news.google.com/rss/articles/CBMimwFBVV95cUxOVW1jOVRUb05PTkliSHRkZVhrYjZVRFRpdWZiWGZidmJaaVYwYWxOb1FOa1dSbHc3YTFwYXI4VE1LZ2JEQmlpbktWd1FoVC1fUVFoT0NSOGpwM1pGSi1iemY3ZVZCbmJENXJFWHE2WmFCcWpCeW11NmFOMlNOaW9sQ1BMMUtxb3BuZWpkMnVlcVFMSGdkOE9kdVJ0WQ?oc=5,cambiocolombia.com,Centro,[],Neutral,,cambiocolombia.com,Bogotá,
18/01/26,Al menos 18 muertos por una treintena de incendios forestales en el centro-sur de Chile,https://news.google.com/rss/articles/CBMixgFBVV95cUxORUVnbmVxUF9CczFXbFlaQ1pySGRBUnM4eEhIOHNtVExEUjlPbXJlTUtsajVJTUpBb1BKNVg3aFUtYW9jU2lfX2paRUxxMWZLaHVXNDlkWl9WbDBPY0FoeHdZRTgzaUVPSU5ETUFWVEE0ZWhfOVdjNE5TM2gzdlJRMFluTFpXbG5RamJGNTFzTTBfb0NXellqcUo2b01tUGo0bTFKcnJRdFNVbU03TzF0aU93U3ZYVzdYXzRRSlNpUktOSV9FeUHSAdoBQVVfeXFMTkRNa2drcVhGTXpBd0VHZGx4X0NEcXJDSHU5ZW9DSmZrQVJwdk4tWEpnWjZLNVpwcmFtaGdHZ2JVcXNYN3ZpRnd2dHRrclBSWDNEcDdiZWctcFJhU1N4U3lnTFBMTHBMa2FTa0t3bXR4SnhSTTFRTloxaTNwTkRiU1Ezd2UxQzZTZ1AyU3dCWVVib21jb09DYUhoVng5THpoUXJuY2c2Y3dnelc1eTE5NzVNR1FiOUg4RUl5dWpnSVBzaGFac0JxX0JGUFNYSFFYTjdBY2lmLV9JeUE?oc=5,elpais.com,Centro,['forestales'],Negativa,"incendio, muertos",elpais.com,Bogotá,
19/01/26,El centro político se estanca mientras la izquierda consolida la unidad y la derecha suma apoyos,https://news.google.com/rss/articles/CBMi9gFBVV95cUxOZzJsNVhSRjlEeUdHMXJTOE1VbGhHakd4dFZTbGZmdDVUbkZDUFZDSDl0eklkTzNIRVFucS1HaWVRVk9ZODlUNFFfUEl2dWt5RFhSbmtPQVdmVUxmdGw4TFplVDhUcUIxT0FHUEhMU2Jxc04tZEVHMHZ4V3YzRjZZNnpWajNTNm0tOWxUYVlick1xVldIMVV1Y1VUNDVJVnpKRkNhNlhzcGZqSFVIbmZUN2FHcXVXSjlZMk0weEtPWkhMbXN5YjhiNmQtOTUyM0ZMenFHcFdGWTZBVUZYeFg4TUNWNlY1Q3lmMUdvMC1sRkdBUGl4YnfSAfYBQVVfeXFMTmcybDVYUkY5RHlHRzFyUzhNVWxoR2pHeHRWU2xmZnQ1VG5GQ1BWQ0g5dHpJZE8zSEVRbnEtR2llUVZPWTg5VDRRX1BJdnVreURYUm5rT0FXZlVMZnRsOExaZVQ4VHFCMU9BR1BITFNicXNOLWRFRzB2eFd2M0Y2WTZ6VmozUzZtLTlsVGFZYnJNcVZXSDFVdWNVVDQ1SVZ6SkZDYTZYc3BmakhVSG5mVDdhR3F1V0o5WTJNMHhLT1pITG1zeWI4YjZkLTk1MjNGTHpxR3BXRlk2QVVGWHhYOE1DVjZWNUN5ZjFHbzAtbEZHQVBpeGJ3?oc=5,elpais.com,Centro,"['político', 'suma']",Neutral,,elpais.com,Bogotá,
