Fecha,Título,Enlace,Fuente,Término,Adjetivos,Sentimiento,Palabras Clave,Dominio Limpio,Departamento,Autor
20/01/26,Claudia López pide a Sergio Fajardo reconsiderar decisión de no participar en una tercera consulta,https://news.google.com/rss/articles/CBMizgFBVV95cUxOU0Q0WDlsNEVQdjljSEE0WVV4bEp2RkN5MnJwSG5EUDBvdUdsbl94aFJ2UmF2M1FqTDNPRmNYVmFNYUczYl9BQVFtU3RsMkd6NHhESFBlNHJvVmo3cFBpcXliSlQwUXRSVzB1eVltN3RfcTJFTGtSdFczMlRJbE5TTTJyRThSSnVHVE9OSkxPaTlLSUx2RVRJellVTDR1WEhvVGdIRGFYUEljcUpsUC14UVJFbDNMNWV2TEVtZ0xuYldKV21pNHo1X3FyX0dVZ9IB4gFBVV95cUxNd096NXhhOU5yaTdCVXBnelh1MzNUSkNaVXpGcmp4SW5qOGZweDI1OWoyMmhJYWFwb0VMUXFFdkZtZFZtWHdudHVPQ2ExVmx6QVhPZElaU2tfam8wQ2pzYWdOb3RJdG9yV0w3LXdwakVYSnBscC1YaG1zWk5FbmpNU0V5Vlp2MlJKZ3pMVm1CaEI4TFZsMGp3Z3ZadF96RGFRV0RxTTBXOWZkQmdyNzNmanJFeDFNaExmdjllRmFKNkEyWXNOS3ZjNjAxSGNGSUhDR0VMazhtdllfRzJwU0c5TThR?oc=5,caracol.com.co,Sergio Fajardo,['tercera'],Neutral,,caracol.com.co,Bogotá,
20/01/26,"Claudia López propone una tercera consulta con Fajardo, Cristo y Armitage; ya uno le cerró la puerta | El Colombiano",https://news.google.com/rss/articles/CBMipwFBVV95cUxPZkNDcmpZT3RncEhhV0RHRW1VblZET2p6ZlllenI2dDF5dm10SDJXZFdyZl9kQzlERFJ3ZFZTNEFfOWpyV3ZwNnU5ZW9CX0lfTl9ZNFJpa3BSejVKTzkwdGNJYTNkMURwcTVvYXMyYnphYmhjd09IV1RwZGhMSFhjSmhHdVlZUzFVV2RwU2wwd3N6cUlqaWE5bXI3QWEtSGVKMkM1Qkd3NNIBrAFBVV95cUxNOW04Rkx5NVQzdUNNNHdfT1NULURUS3FsR2lHVmdWOFA4S2gyQkFzTTdNby15dE40Y29rWVVfejA2QjBjMVMzWmxpUUFSM3p2M3lVN24yVEdWd3NFY3lyZDMwTWlrS3RmdTQ2V01UUkRBUEpLMkJub2tYRzRMRUU3QmY5RmdFbzlhSW5DV3lKa3ZFWnh4TjZfSnBTaFRIRDBDcXAtaHBkbktpVGNv?oc=5,elcolombiano.com,Fajardo,['tercera'],Neutral,,elcolombiano.com,Antioquia,
20/01/26,Espero que cambie de opinión: Claudia López invita a Fajardo a una consulta de centro,https://news.google.com/rss/articles/CBMiwAFBVV95cUxPN2dzZjAzMUhJQXRMTXp2NVdkVUQ3Mkk3Z3BjWkx5c1FTUUh5MmJ0ajV0bTRETTdYQndvRlhDNk5MeGV3WEtubzh3cEd6bEdDQWZ6VzJxTV9lc2ZJNU1SMFVxdlpsdjd0My1SaFFnRGdEWmxBZHhBR05NXzFtVk9PUHVJWlExNWg2a3hkaWdjajRtczFhM2hBTVgyZHNTQkpFYWZpaWs0b05fVFVacUZaSU9PUENzUWdTckRWMGQxSnnSAc4BQVVfeXFMTlZ6WmtkT290eDEzaENsQjlVZXo1ZGM1OVhEM195MHhYTUNUVzZjZ2k1a2I4d0ZzTVJKc0R5UmU0VlNMSFRFeTQwOVFYYlc2S3g2RmRfaUxaVzhPa055RUp0aktnNzdvamhaZUhCODhuSFEtRUFLUTRic2hMTEgySFIzUUNXY0hSREtQNjlCOG11NVdZRGh6OFFyNUNOaDZtNlQxQ3JmMmxqd2Z6ZDBreUJ6ZDR1NWpUb2h3T0ZrSk4tS2pMdzJFRjhaV1lnd0E?oc=5,bluradio.com,Fajardo,[],Neutral,,bluradio.com,Bogotá,
21/01/26,Claudia López busca cónclave con tres fichas presidenciales y promueve consulta; le tocó la puerta a Fajardo,https://news.google.com/rss/articles/CBMizwFBVV95cUxPenlOQktSZkdKVGVIT3F5MU53dUhSMFJvRXdLeXB0cDctRWJyeDlGRGt1WHk2MENzM01LTUNDVDEzdlZURkNQck1Ga18wQmtmSE9WRUh5NU55ZU04VkFST1hQSzJicmpiMGVSVUp0NEtBbFhlYXAxb1lwWjMzWjhQWTBqTVNQUE5NdTYtMENZMERydDdpUTlSUWdRUTR6OVhiX2JkVkNENXAzUjRrN0pwOUszZjZpU2hQbjQtN2VQMnlLeWpJb3BoMW1RQzNBUnfSAdQBQVVfeXFMTjFEazJoeWdvd1pKWEJ4S1VROW8tOEdfdXVLNjdrTzVCcW1DV2owX2hvM1I5M1Q3WktKb2VUWUJUeG5YbGNCa1A2TmFXa1lWZzR2UWJoQ0lONmdFZHpYSFVyZVNMcnA5Y1VlR1o3UENrdDdFWnlCLTh4a1RRdEdQeENlTWkwNGw0ZlgtTTRZbVdIdTdlTVMzMzBKc21Jc0JadTA4VEFTWnFjTzNzTzdheDJ0ejVMb1BRX2NFbDBibzBYdnVfTzZtV3hTUXcyMDlBakdiMkk?oc=5,pulzo.com,Fajardo,['presidenciales'],Neutral,,pulzo.com,Bogotá,
20/01/26,“Cinismo inaceptable”: Fajardo luego de que el ministro de Salud se burló del gerente de hospital que lloró,https://news.google.com/rss/articles/CBMi5gFBVV95cUxNN1lDcWF0YjBOclV0Q29KNTNWSDJaTVFCZW9IcVZnb2dtMW01ZE1kVTkyOUd1aV9XQUZiTlpSd2hiMERLTTl1RzhNSDJhUGtZTGpaazc1ZjhILXEtX0Y1ZWZGVUlVOS1veE52eE5KTVFJMVpkaHdjd0pQV3BNOC1Cb205V3YtTVdJbElBVVNsQVNKYlNpZzBWcE93OWRRd1J1NDJyN0dLY1B5WXZ2bDBodEhUVm1zZWt6bGlfc3JDbUptTGJfNXhDeEJJeTZac3VpRjV2QnZEZ1M3Q3lObzhqVDh1cTBsZw?oc=5,publimetro.co,Fajardo,['inaceptable'],Neutral,,publimetro.co,Bogotá,
20/01/26,"Claudia López invitó a Fajardo, Cristo y Armitage a participar en una consulta presidencial, ¿será viable?",https://news.google.com/rss/articles/CBMi4wFBVV95cUxPLVFRbHBWa0ZpRUV2eUJ3QzBEWVBCSWw3V2JDaXowRkZoYTkxaU5EZjNjR1Q1VFhWM0VIajA4LWVIbnhxclp6Z1lRZlBJWk5QMlg1MnhjS0tGbWpPVDRiendUSlh4Q2hQb1lTRkJ5NlU1Y2xjM0t6alFGamRmbFVRb0duenIwWjV4RGhTRHFOZmotdUNfSGNCTmNtLWFoX1M5QXdNVjlGZUVodEo3NkdaZHF1SzZUal9QUzlxNlZlVExaQ2JtUkdSakxQZWIzaHVqZmpLdDhhb2JiTjNtQWlZd0JSYw?oc=5,publimetro.co,Fajardo,"['presidencial', 'viable']",Neutral,,publimetro.co,Bogotá,
20/01/26,"Claudia López plantea nueva consulta con Fajardo, Cristo y Armitage, pero ya recibió un no",https://news.google.com/rss/articles/CBMivwFBVV95cUxPNml0czJGRkUxa1JyOHVRNTlMN1E2MXlUUGJTNWVNVFV5NERUWS1zaHkzN09rUVk5eHlVSDlTZGVFNVFHd1ZBMS1oZ3ItZzEzQ2Y3SERTWlphdUZNaWplV2NScm5HYUx0UjZ6Q0ZyTGtvaC1xSkFUVHdTRjlhTFdjSnZVejE1M1dueDAySDRqakRkR19FeVFCTlB3aE1vbHk1cTFnMldYcWxVN1NtN0lDYUpjelY0a1hIMm5mOThuZw?oc=5,laopinion.co,Fajardo,['nueva'],Neutral,,laopinion.co,Norte de Santander,
20/01/26,El enigma detrás del asesinato de Félix Fajardo: ¿venganza por descubrir un hurto en la finca?,https://news.google.com/rss/articles/CBMiwgFBVV95cUxQVnZTaGVYemJZbGFXd3ZIb3gtTEQ4QzdtcXZibWVPaDJSakFJMS1tcThEYWNmOUhwTUhmTzhidXZLV0hOUEpRTlhNZ0NVZlU1UFlHTWQ4TzEwMEUyNUY5R3VKbm9kUVozYmJCVlVDLVVFM3lUbjlBM0xwM2tpMmxrbnBZMTkwQnpBaU9HY05aNmxQVmtmdTdWYVZxRW1FUGdrcGtjTlhINWZUTmF4TVFYRGdBOFNGY3RXejlUYURBLTZXQQ?oc=5,lapatria.com,Fajardo,[],Negativa,"asesinato, asesinato",lapatria.com,Caldas,
20/01/26,‘Esto es Guerra’ vuelve a América TV sin Renzo Schuller ni Peter Fajardo: Fecha de estreno y más detalles,https://news.google.com/rss/articles/CBMi2wFBVV95cUxOVVRTa0lWZXVqMHpWay1BcXM3QlFWazNMeDU0R0Y3QVJ1Qk5jdlBLU2RDWDZsUjdFZkVCMlZHeFd5LXJGOUNIdEdsUDhDT0xxZk9oc2pKb0FEYTI0NDExdnBJelVRYmVZeW1PUW5UeEhNWFU5d1RyZkU3SURrLTdGYTNMMW9VRXozOU1SaWJaeTNIMDZRQWJJT0szSUZGRUZtVFVOZjRrZDlwRGM3cVhGSkJUbEJHbFFtSFpJbTljY1QzZjJPdVlvdS1fUlY3QVNZcVRVZ0VmSkdXc1HSAfYBQVVfeXFMT2VtTFlCNnpmTTE4Z2ptdzlQbVR6c0dEZURiVWdhMXFGdGdXSXpZcXNDWlV6dVFlS1MyY2dIWFlJVEdSakZoeUN1UUJwSGV3MTJFakV6dlA1Uk9iSzlXMmFIZ3NoR0ZxOXowN3RucEFoQmc5aFpZZ0tfYlR1R0thZTJLYk5VclJ2QlhzelRmcHdfa0l6RmFNZ0lJV1VqUlgxOHdBM0tFQ3UyR1BoZnF5MHNrV3h5LVJ0cFNBZng1ZUpDWlkzQVZQMXVPYXB2ejlkTTZOaVZPM0p3QTBvcXpiUFVMYWo5NE0taXNJblFaT0NzbTNqYldR?oc=5,infobae.com,Fajardo,[],Neutral,,infobae.com,Bogotá,
20/01/26,José Fajardo Jr. rinde homenaje a la flauta más alta de Cuba con el álbum Diamante,https://news.google.com/rss/articles/CBMivgFBVV95cUxNQ29ZMDF6Um1WWTh5dnJYeGJJSjNBZ1pKRTAtY3lwUkxoaHlCSEhuMFRTLUktVUJiay1LdTc3SmY5NUdlOHpOQ0pnbk00akhRb0RlX3hlbm5hSFh3ZVBraDNHQ3QxN3ZoNm43ZkpiMmpQOTc4SkFYOWlVMXBMSHdEV3o4dlZEeHBaVlg4Um9iUXU4akJCZ1ZneHpWQzBwZVc3TE5QN0FLbWhiLUVhUmtKM0JZUFBscHJ6NkJ6cE930gG-AUFVX3lxTE1Db1kwMXpSbVZZOHl2clh4YklKM0FnWkpFMC1jeXBSTGhoeUJISG4wVFMtSS1VQmJrLUt1NzdKZjk1R2U4ek5DSmduTTRqSFFvRGVfeGVubmFIWHdlUGtoM0dDdDE3dmg2bjdmSmIyalA5NzhKQVg5aVUxcExId0RXejh2VkR4cFpWWDhSb2JRdThqQkJnVmd4elZDMHBlVzdMTlA3QUttaGItRWFSa0ozQllQUGxwcno2QnpwT3c?oc=5,90minutos.co,Fajardo,['alta'],Neutral,,90minutos.co,Valle del Cauca,
