Fecha,Título,Enlace,Fuente,Término,Adjetivos,Sentimiento,Palabras Clave,Dominio Limpio,Departamento,Autor
28/01/2026,Colombia no se puede quedar en el pasado y debe romper este presente: Sergio Fajardo,https://emisoraatlantico.com.co/politica/colombia-no-se-puede-quedar-en-el-pasado-y-debe-romper-este-presente-sergio-fajardo/,emisoraatlantico.com,Sergio Fajardo,,Positiva,,emisoraatlantico.com,Atlántico,
28/01/2026,El centro queda atrapado en un triángulo amoroso para aterrizar una consulta,https://www.lasillavacia.com/silla-nacional/el-centro-queda-atrapado-en-un-triangulo-amoroso-para-aterrizar-una-consulta/,lasillavacia.com,Sergio Fajardo,,Neutral,,lasillavacia.com,Bogotá,Mariana Zapata Amorocho
28/01/2026,"Fajardo se reune con Claudia López este miércoles, CNE analiza caso Cepeda y las otras movidas electorales del día",https://www.elespectador.com/politica/elecciones-colombia-2026/sergio-fajardo-se-ve-con-claudia-lopez-cne-analiza-caso-cepeda-diana-osorio-tomaria-aval-del-ptc-tras-rechazo-a-quintero-noticias-hoy/,elespectador.com,Sergio Fajardo,,Neutral,,elespectador.com,Bogotá,
28/01/2026,"Estos son los temas y candidatos que han protagonizado el debate digital en época electoral, según estudio",https://www.eltiempo.com/politica/elecciones-colombia-2026/estos-son-los-temas-y-candidatos-que-han-protagonizado-el-debate-digital-en-epoca-electoral-segun-estudio-3527618,eltiempo.com,Sergio Fajardo,,Negativa,,eltiempo.com,Bogotá,Esteban Mejía Serrano
28/01/2026,Sergio Fajardo confirmó reunión con Claudia López para el miércoles para avanzar en diálogos y eventuales acuerdos,https://caracol.com.co/2026/01/27/sergio-fajardo-confirmo-reunion-con-claudia-lopez-para-avanzar-en-dialogos-y-eventuales-acuerdos/?outputType=amp,caracol.com.co,Sergio Fajardo,['eventuales'],Positiva,avanza,caracol.com.co,Bogotá,
28/01/2026,"Sergio Fajardo evalúa diferentes escenarios en consultas, entre ellos la de Claudia López",https://www.bluradio.com/politica/sergio-fajardo-evalua-diferentes-escenarios-en-consultas-entre-ellos-la-de-claudia-lopez-so35,bluradio.com,Sergio Fajardo,[],Neutral,,bluradio.com,Bogotá,
28/01/2026,"""Petro tiene dos candidatos, Iván Cepeda y Abelardo de la Espriella"", dice Sergio Fajardo",https://www.bluradio.com/politica/petro-tiene-dos-candidatos-ivan-cepeda-y-abelardo-de-la-espriella-dice-sergio-fajardo-pr30,bluradio.com,Sergio Fajardo,[],Neutral,,bluradio.com,Bogotá,
28/01/2026,Sergio Fajardo afirmó que Petro tiene dos cartas de cara a sucederlo en la Presidencia: Cepeda y De la Espriella,https://www.infobae.com/colombia/2026/01/27/sergio-fajardo-afirmo-que-petro-tiene-dos-cartas-de-cara-a-sucederlo-en-la-presidencia-de-quienes-se-trata/,infobae.com,Sergio Fajardo,[],Neutral,,infobae.com,Bogotá,
28/01/2026,¿Otro Fajardo u otro centro?,https://www.elespectador.com/opinion/columnistas/mario-morales/otro-fajardo-u-otro-centro/,elespectador.com,Sergio Fajardo,['Otro'],Neutral,,elespectador.com,Bogotá,
28/01/2026,Mi fe en Fajardo está intacta (II),https://news.google.com/rss/articles/CBMiogFBVV95cUxPS25wQU9ieW1xdU9jcEsxMThzb0t5clFnZFkyaVBBY0xOX0Vaa1VEUUJzanlIa18yRFJNWHZxdzJ2WU43eDVkZ1hFb20wU3E2MWpaZVI0bXNaS0MzWUFJOVNJdFJJSjd2a3VTaGlVZi1iQ1l3NGhJTHNPRmpZWW03Vm9GcVVNRGFEcWJLbkt5aWVkdE5hOWZTM1M3LWlJeThEZUHSAbYBQVVfeXFMT1ZLaldNM1BqUGlNTkc3Y1BnbHJYZGFOdTQwUGM5NkRiUno1a1RVbVZvaTAyX0ZTMGtFcWJva2JEZXQ4TExROWxPckdkcno1cFV2alNWYTJHSUVmaDNJNVZvYlpPLUZwTVJiQUMwOG55aUhxTjR2eXEtOHNDN1RYZkhhR192UThGb3g0dTdUVFNiblRhclhBM241cDB0RmdkVVJSUjJpekQ4Vi00dVJfZVZjTkZHN0E?oc=5,elespectador.com,Sergio Fajardo,['intacta'],Positiva,,elespectador.com,Bogotá,Gonzalo Mallarino Florez
